Κωδικός,Προϊόν,W%-Μήνας-Ετήσιο,ΔΤΚ,
1111,PYZI,W%0,2,94
1111,PYZI,Ιανουάριος,104,96
1111,PYZI,Φεβρουάριος,105,24
1111,PYZI,Μάρτιος,105,6
1111,PYZI,Απρίλιος,104,13
1111,PYZI,Μάιος,105,12
1111,PYZI,Ιούνιος,103,81
1111,PYZI,Ιούλιος,104,75
1111,PYZI,Αύγουστος,105,79
1111,PYZI,Σεπτέμβριος,105,12
1111,PYZI,Οκτώβριος,103,73
1111,PYZI,Νοέμβριος,104,68
1111,PYZI,Δεκέμβριος,102,54
1111,PYZI,ΕΤΗΣΙΟΣ,104,58
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,W%0,1,51
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιανουάριος,111,4
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Φεβρουάριος,111,10
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Μάρτιος,109,58
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Απρίλιος,108,51
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Μάιος,110,45
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούνιος,110,21
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Ιούλιος,111,9
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Αύγουστος,110,39
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Σεπτέμβριος,110,32
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Οκτώβριος,111,88
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Νοέμβριος,113,28
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,Δεκέμβριος,109,78
1112,ΑΛΕΥΡΙ ΚΑΙ ΑΛΛΑ ΔΗΜΗΤΡΙΑΚΑ,ΕΤΗΣΙΟΣ,110,63
1113,ΨΩΜΙ,W%0,19,34
1113,ΨΩΜΙ,Ιανουάριος,96,69
1113,ΨΩΜΙ,Φεβρουάριος,96,80
1113,ΨΩΜΙ,Μάρτιος,96,79
1113,ΨΩΜΙ,Απρίλιος,97,5
1113,ΨΩΜΙ,Μάιος,97,8
1113,ΨΩΜΙ,Ιούνιος,96,61
1113,ΨΩΜΙ,Ιούλιος,96,97
1113,ΨΩΜΙ,Αύγουστος,96,84
1113,ΨΩΜΙ,Σεπτέμβριος,99,23
1113,ΨΩΜΙ,Οκτώβριος,100,28
1113,ΨΩΜΙ,Νοέμβριος,100,77
1113,ΨΩΜΙ,Δεκέμβριος,101,43
1113,ΨΩΜΙ,ΕΤΗΣΙΟΣ,98,4
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,W%0,7,82
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Ιανουάριος,97,0
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Φεβρουάριος,95,81
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Μάρτιος,96,14
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Απρίλιος,95,46
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Μάιος,95,28
1114,ΑΛΛΑ ΠΡΟΪΟΝΤΑ ΑΡΤΟΠΟΙΪΑΣ & ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ,Ιούνιος,94,57
