Year,Per 100K Population,Annual % Change
2021,0.85,14.84
2020,0.74,0.58
2019,0.74,-20.76
2018,0.93,15.75
2017,0.8,2.93
2016,0.78,-9.2
2015,0.86,-12.63
2014,0.99,-29.73
2013,1.4,-7.42
2012,1.51,-9.44
2011,1.67,4.82
2010,1.6,16.02
2009,1.37,5.73
2008,1.3,10.95
2007,1.17,18.35
2006,0.99,-16.62
2005,1.19,18.95
2004,1.0,17.88
2002,0.85,-28.95
2001,1.19,-15.44
1999,1.41,-12.37
1998,1.61,-13.81
1997,1.87,19.32
1996,1.56,11.14
1995,1.41,12.68
1994,1.25,-12.04
1993,1.42,8.6
1992,1.31,-1.54
1991,1.33,31.55
1990,1.01,31.55
