Broad Category,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Accommodation and Food Services,282.953,283.775,290.813,301.9,303.614,311.909,316.273,322.42,326.704,330.899,343.621,357.994,361.63,371.696,372.721,357.725,353.712,349.009,378.693,448.089,445.284,522.776,538.709,603.084,654.179,549.658,640.829,688.847,696.774
Administrative and Support Services,70.101,66.97200000000001,66.793,76.711,74.548,73.747,80.57,88.674,90.45400000000001,101.007,111.22999999999999,96.164,105.071,108.076,108.845,110.63300000000001,106.96900000000001,107.52000000000001,113.128,121.769,119.541,131.307,132.64,136.34,142.48399999999998,134.931,148.519,161.594,164.03199999999998
"Agriculture, Forestry, and Fishing",767.528,755.338,727.592,726.916,728.893,698.457,648.5690000000001,637.9179999999999,621.412,551.546,557.868,550.486,539.812,537.84,551.452,544.208,532.636,529.996,527.581,530.2760000000001,511.74899999999997,499.829,503.293,507.274,498.653,481.101,504.551,507.778,518.22
"Arts, Entertainment, and Recreation",64.44800000000001,63.275,60.948,68.702,63.814,63.428,65.468,74.746,77.18299999999999,73.62,79.032,81.065,86.699,92.17,88.19200000000001,90.01599999999999,87.422,90.60300000000001,97.807,104.75999999999999,95.691,98.803,99.349,108.496,116.642,122.523,126.738,128.20600000000002,123.05799999999999
Construction,237.472,237.078,236.473,259.089,255.039,261.921,266.388,276.251,299.463,303.645,319.943,320.418,341.123,338.497,323.451,277.662,241.173,206.795,202.866,203.985,195.16,197.09,190.508,193.462,192.42,193.329,181.892,188.379,193.324
Financial and Real Estate Activities,97.441,90.909,98.834,103.866,103.21,110.712,107.531,105.87,110.449,116.346,116.862,119.71000000000001,118.46199999999999,122.788,118.352,114.23400000000001,110.499,108.921,105.581,100.437,103.774,103.244,99.122,101.702,101.509,104.343,106.651,108.58500000000001,110.63399999999999
Information and Communication,67.657,69.154,70.613,77.167,75.503,76.798,82.874,97.021,93.729,96.998,94.669,97.92,97.644,100.34700000000001,96.911,99.275,95.405,90.221,91.992,94.108,89.21000000000001,89.85300000000001,89.36699999999999,100.578,103.76599999999999,105.335,112.56,117.138,117.598
Manufacturing,437.249,438.156,424.776,436.03499999999997,431.801,423.795,442.818,445.264,435.992,435.661,448.147,450.133,449.25,467.241,448.147,407.502,377.741,349.98699999999997,337.546,345.75,323.153,338.15299999999996,333.225,355.136,359.3,359.194,387.413,397.638,407.805
Mining and Quarrying,15.022,15.386,14.722,14.653,13.081,14.139,14.724,12.866,13.953,13.893,13.391,13.445,13.544,11.648,12.589,12.174,10.907,9.75,10.437,11.152,10.261,9.346,10.201,9.98,9.018,8.067,8.82,8.969,9.36
Other Services,113.89,118.906,120.761,127.099,136.099,131.822,127.899,138.573,144.344,160.92200000000003,160.862,163.274,166.625,167.44,174.20600000000002,174.591,161.407,135.849,125.45400000000001,126.687,127.196,122.84,121.121,121.265,118.826,117.053,111.364,114.88900000000001,116.06
"Professional, Scientific, and Technical Activities",147.44899999999998,143.238,147.661,172.048,176.971,178.697,193.20600000000002,206.181,213.45399999999998,236.21699999999998,246.166,255.75099999999998,255.261,268.208,270.465,263.277,261.742,274.667,283.161,304.332,277.098,272.169,256.175,271.017,272.124,274.185,297.794,302.012,308.345
Public Services,759.7040000000001,777.1030000000001,778.616,798.267,804.769,833.299,838.023,867.1089999999999,879.1020000000001,973.136,956.641,997.097,1021.932,1014.094,1009.417,1015.605,995.288,964.282,961.303,981.692,975.924,991.0600000000001,992.365,1013.398,1031.081,1047.39,1064.189,1070.312,1074.116
TOTAL,4152.507,4132.133,4120.746,4298.7,4308.051,4324.316,4334.453,4440.866,4491.122,4606.833,4652.092,4742.951,4806.731,4867.126,4835.998,4706.437,4505.137,4325.833,4300.666,4453.731,4322.573,4469.514,4446.627,4650.344,4751.956,4629.794,4865.559,4983.638,5044.043
Trade and Transport,1027.303,1006.586,1017.098,1070.734,1075.789,1081.6870000000001,1088.5810000000001,1108.351,1129.927,1157.773,1148.872,1183.408,1193.019,1212.376,1207.1960000000001,1184.4460000000001,1114.7250000000001,1054.7179999999998,1010.107,1020.443,990.579,1031.957,1021.722,1070.589,1093.528,1074.507,1116.1799999999998,1128.279,1143.3039999999999
Utilities,46.245000000000005,47.953,47.751000000000005,47.489,47.354,45.594,43.91,40.131,36.867,37.19,36.506,37.625,37.78,34.818,33.278,33.056,35.206,35.676,37.263,43.856,41.379000000000005,43.361,40.542,40.343,40.545,40.759,41.079,42.303,42.646
