,Year,Total of Offences,"Offences per 100,000 inhabitants",Felonies (Major offences) - Total,"Felonies (Major offences) - Offences per 100,000 inhabitants",Misdemeanors (minor offences) - Total,"Misdemeanors (minor offences) - Offences per 100,000 inhabitants",Total of Offenders,"Offenders per 100,000 inhabitants"
0,2000,369137,3416,4444,41,364693,3375,330261,3056
1,2005,455952,4156,5672,52,450280,4105,417555,3806
2,2010,333988,3004,8817,79,325171,2924,261533,2352
3,2011,194031,1744,9149,82,184882,1662,135088,1214
4,2012,194244,1752,9024,81,185220,1671,126265,1139
5,2013,199800,1816,14131,128,185669,1687,119556,1087
6,2014,190213,1741,11134,102,179079,1639,109722,1004
7,2015,197074,1815,11611,107,185463,1708,111020,1022
8,2016,205216,1903,12438,115,192778,1788,122727,1138
9,2017,221225,2054,11993,111,209232,1943,125012,1161
10,2018,210272,1958,12258,114,198014,1844,130493,1215
11,2019,220403,2055,10928,102,209475,1953,131278,1224
12,2020,191224,1784,8086,75,183138,1709,133775,1248
13,2021,203160,1902,8561,80,194599,1822,147491,1381
14,2022,241549,2309,10202,98,231347,2212,168674,1613
15,2023,247416,2376,10121,97,237295,2279,174895,1679
