date,energy_mwh,fuel,percentage
2020-11-30 19:00:00,69816,ΑΕΡΙΟ,0.489
2020-11-30 19:00:00,25423,ΑΙΟΛΙΚΑ,0.178
2020-11-30 19:00:00,-2280,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.01
2020-11-30 19:00:00,36927,ΛΙΓΝΙΤΗΣ,0.258
2020-11-30 19:00:00,142704,ΣΥΝΟΛΟ,1.004
2020-11-30 19:00:00,12818,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.089
2020-12-01 19:00:00,66126,ΑΕΡΙΟ,0.459770274780287
2020-12-01 19:00:00,11039,ΑΙΟΛΙΚΑ,0.0767535320947825
2020-12-01 19:00:00,9736,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.067693848036489
2020-12-01 19:00:00,38536,ΛΙΓΝΙΤΗΣ,0.2679385916119702
2020-12-01 19:00:00,143824,ΣΥΝΟΛΟ,1.0000000000000002
2020-12-01 19:00:00,18387,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.1278437534764712
2020-12-02 19:00:00,59065,ΑΕΡΙΟ,0.4188858551115209
2020-12-02 19:00:00,18490,ΑΙΟΛΙΚΑ,0.1311301017694408
2020-12-02 19:00:00,10327,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0732385376405092
2020-12-02 19:00:00,40669,ΛΙΓΝΙΤΗΣ,0.2884223963689231
2020-12-02 19:00:00,141005,ΣΥΝΟΛΟ,1.0
2020-12-02 19:00:00,12454,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.088323109109606
2020-12-03 19:00:00,59030,ΑΕΡΙΟ,0.43
2020-12-03 19:00:00,20697,ΑΙΟΛΙΚΑ,0.15
2020-12-03 19:00:00,14607,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.11
2020-12-03 19:00:00,35770,ΛΙΓΝΙΤΗΣ,0.26
2020-12-03 19:00:00,137215,ΣΥΝΟΛΟ,1.0
2020-12-03 19:00:00,7111,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.05
2020-12-04 19:00:00,59139,ΑΕΡΙΟ,0.4680236469107859
2020-12-04 19:00:00,5385,ΑΙΟΛΙΚΑ,0.0426166715469416
2020-12-04 19:00:00,25489,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.2017189119888571
2020-12-04 19:00:00,32534,ΛΙΓΝΙΤΗΣ,0.2574727561946517
