Sector,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Production,162716,177061,190474,206417,218157,235777,252968,271765,290199,314690,322952,356499,379354,386993,375014,354705,323299,304176,297189,292166,289314,278660,288662,298370,308201,268864,311809,369900,387141
Compensation of employees,26786,29300,33418,37060,40571,43242,46496,53236,58388,62938,67107,71963,77481,81555,83329,80785,74510,68026,62444,62726,61090,62287,62680,64947,66769,63888,68762,71983,76071
Taxes on production and imports,11426,12948,14578,15470,17335,18455,19383,21001,21680,22444,23632,26688,29241,30413,27826,28454,27971,27203,26615,28728,29137,30899,31221,31911,32270,27772,31408,39453,38388
Taxes on products,10817,12124,13733,14537,16186,17292,18420,20060,20661,21373,22490,25299,27813,28333,25420,26640,25608,23843,22785,22717,22604,24393,24576,25871,26321,22261,25201,32969,31762
Other taxes on production,609,824,845,933,1149,1163,963,941,1019,1071,1142,1389,1428,2080,2406,1814,2363,3360,3830,6011,6533,6506,6645,6040,5949,5511,6207,6484,6626
Subsidies,2799,2840,2948,3123,2893,2824,2269,3019,3170,3227,3375,3050,3607,3499,3786,3475,4293,5197,5648,5140,5029,4890,4976,4744,5195,8966,11482,14459,6951
Subsidies on products,2580,2517,2623,2877,2557,2447,1898,2593,2477,2693,2334,758,692,468,531,525,668,1874,2616,2164,2205,2159,2248,2115,2171,2213,1926,8952,3462
Other subsidies on production,219,323,325,246,335,377,371,426,693,534,1041,2292,2915,3030,3255,2950,3624,3324,3032,2975,2825,2731,2728,2629,3024,6753,9556,5507,3489
Property income,38622,37009,33837,37046,37131,36075,28355,26680,24502,25306,25330,29889,41184,53084,37532,33290,32827,30605,21301,20271,17435,15089,15339,13239,15809,15406,17233,22288,35860
Interest,35647,33110,29914,32253,30374,29105,20168,18303,15489,16116,17366,22224,32503,42156,28917,26081,27771,24592,16346,14046,11989,10168,9392,8606,9323,9518,10643,13119,26992
Distributed Income of Corporations,2410,3119,2944,3676,5419,5706,6804,6744,6992,7066,6064,5790,6818,9449,6834,5134,3498,3210,2785,2884,2928,3657,4930,3573,5138,4707,5267,7509,7098
Reinvested Earnings on Foreign Direct Investment,19,21,22,29,49,66,96,111,324,340,395,302,332,240,396,614,159,717,278,1906,1396,288,4,55,236,102,256,581,581
Other investment income,262,380,569,667,832,731,722,891,996,1057,776,820,767,517,692,791,677,1368,1280,876,590,462,501,511,624,601,587,600,702
Rent,284,379,388,421,458,467,563,631,701,727,728,753,764,722,693,670,721,719,612,559,532,515,512,495,489,478,480,479,487
"Current taxes on income, wealth, etc.",6109,6597,8192,10664,11871,13816,13079,14481,14476,15618,17878,18009,19199,19640,20292,18682,19102,20680,18934,17419,16777,17776,17734,18598,17224,15539,17244,19700,23256
Social Contributions and Benefits,30702,33699,37890,42203,46182,49108,53691,59385,66224,69877,75621,81932,90703,99655,102843,100297,95857,90459,81583,79630,79852,80859,80833,81472,83259,82330,86109,90632,94152
Social contributions,10041,11146,12611,14125,15403,17010,18455,21315,23167,24437,25587,27037,30173,32125,30975,31278,28984,27949,25956,25151,25394,25954,26957,27313,27666,26432,28040,29849,30080
Social benefits other than social transfers in kind,10586,11732,12996,14694,16154,17960,19827,21271,24193,25692,27979,31413,34964,40057,43004,41455,41858,39927,35547,35941,35801,35913,35046,35145,35306,34958,36059,37687,39378
Social transfers in kind,10076,10820,12283,13385,14625,14138,15409,16799,18864,19748,22056,23482,25566,27473,28864,27564,25015,22583,20080,18538,18657,18992,18830,19013,20287,20940,22009,23096,24694
Other current transfers,6305,6947,7023,7518,7668,7865,9126,8233,8854,9982,8925,9362,8783,10875,11661,11866,11042,9657,11436,8651,8531,8717,8012,8517,9591,9333,8983,9204,9474
Net non-life insurance premiums,372,500,533,561,607,531,708,1183,1218,1336,766,989,953,908,1362,1676,1573,1166,1054,737,804,743,789,907,862,693,651,852,860
Non-life insurance claims,384,516,549,578,626,547,730,1219,1255,1377,789,1019,983,936,1403,1727,1772,1355,1281,1117,978,886,995,1081,1071,826,819,956,1049
