,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees,Total,Employees
"Crop and animal production, hunting and related service activities",724.149,128.898,712.754,127.109,688.319,120.163,689.393,123.437,691.625,117.757,661.929,119.75,612.59,110.824,604.781,109.41,589.634,106.669,521.955,94.426,527.985,64.404,522.478,75.516,511.232,74.058,509.716,73.936,524.122,75.962,517.096,99.427,505.921,98.578,504.386,101.097,501.99,100.03,501.925,110.276,483.587,130.373,471.082,128.062,474.627,122.711,477.786,125.769,467.807,127.884,454.054,119.107,474.989,95.214,476.946,96.976,487.053,100.829
Forestry and logging,7.907,6.186,7.796,6.098,6.627,5.184,7.545,5.902,8.098,6.326,7.791,6.087,8.747,6.834,7.329,5.726,7.255,5.668,5.457,4.264,5.817,3.679,4.995,3.159,5.481,3.467,5.498,3.478,5.587,3.534,5.29,3.261,5.958,4.543,5.037,3.888,4.631,3.36,6.829,6.394,7.247,6.835,7.459,7.064,7.821,7.366,8.923,8.394,9.518,8.974,7.654,7.258,8.912,7.176,9.59,7.752,10.076,7.97
Fishing and aquaculture,35.472,7.227,34.788,7.087,32.646,10.121,29.978,9.294,29.17,9.662,28.737,8.908,27.232,8.442,25.808,8,24.523,7.602,24.134,7.481,24.066,7.46,23.013,7.262,23.099,7.246,22.626,7.014,21.743,7.103,21.822,7.129,20.757,7.081,20.573,7.342,20.96,7.48,21.522,9.746,20.915,10.704,21.288,11.34,20.845,11.718,20.565,13.204,21.328,13.429,19.393,12.746,20.65,12.451,21.242,12.898,21.091,12.436
Mining and quarrying,15.022,14.232,15.386,14.683,14.722,14.093,14.653,14.027,13.081,12.452,14.139,13.52,14.724,14.087,12.866,12.209,13.953,13.244,13.893,13.243,13.391,12.783,13.445,12.858,13.544,13.008,11.648,11.124,12.589,12.015,12.174,11.54,10.907,10.295,9.75,9.144,10.437,10.041,11.152,10.437,10.261,9.742,9.346,8.899,10.201,9.632,9.98,9.57,9.018,8.611,8.067,7.636,8.82,8.411,8.969,8.589,9.36,8.896
"Manufacture of food products, beverages and tobacco products",94.745,72.764,95.728,71.918,95.109,71.78,95.603,72.3,95.986,75.036,96.507,75.331,103.782,82.069,107.877,86.084,104.546,83.007,100.579,79.711,114.234,85.96,116.889,88.019,115.495,87.121,114.864,86.434,116.104,87.612,109.378,87.524,109.991,89.185,110.369,90.62,113.487,94.744,117.464,96.767,113.338,94.91,120.026,102.171,121.853,104.397,130.304,113.408,135.421,118.972,133.044,116.387,142.162,125.071,147.87,127.974,152.544,130.849
"Manufacture of textiles, wearing apparel, leather and related products",109.564,76.337,107.969,72.672,99.937,67.137,101.499,67.761,99.541,72.975,98.674,72.133,90.525,65.136,86.024,61.727,84.807,61.664,76.415,53.218,75.523,53.314,74.807,52.988,68.976,48.318,65.153,44.904,55.78,38.608,45.366,31.297,39.764,27.576,35.095,24.628,30.595,21.476,31.363,22.282,29.441,22.575,29.894,22.582,27.419,21.319,30.322,24.78,28.075,22.475,26.214,20.233,28.608,22.406,26.924,21.002,26.277,20.534
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",19.442,10.759,20.334,11.09,19.38,10.591,19.331,10.594,19.409,11.229,18.403,10.648,16.918,9.184,15.84,8.36,15.305,8.454,19.626,10.841,21.732,12.336,21.258,12.067,18.025,10.232,18.072,10.259,18.414,10.465,13.837,7.846,12.946,7.177,10.689,6.52,9.262,5.555,8.865,5.064,6.278,3.366,7.216,4.493,6.904,4.412,7.742,4.99,7.684,5.059,7.794,5.449,7.252,4.866,7.923,5.242,8.025,5.41
Manufacture of paper and paper products,11.106,8.797,11.088,8.766,11.094,8.855,11.582,8.826,11.097,9.879,10.127,9.015,8.558,7.911,9.509,8.887,7.203,6.659,7.731,6.756,8.333,7.359,8.494,7.527,8.878,7.878,9.504,8.238,9.54,8.27,8.597,7.834,8.011,7.24,7.907,7.146,6.838,6.498,8.06,7.391,7.48,6.926,7.59,7.067,7.792,7.264,9.039,8.556,8.862,8.368,8.812,8.31,9.779,9.281,10.045,9.586,10.617,10.016
Printing and reproduction of recorded media,13.955,9.906,14.256,10.045,14.313,10.169,14.789,10.553,14.882,12.187,14.17,11.604,15.993,11.987,15.729,11.959,16.491,12.646,18.512,11.913,17.445,13.393,16.837,12.405,18.047,13.295,19.954,14.075,17.839,12.583,15.653,11.041,13.396,9.449,11.372,8.54,11.115,8.347,10.581,7.42,9.422,6.452,10.257,7.395,9.784,7.075,10.343,7.302,10.821,7.639,9.91,7.219,10.51,7.717,10.278,7.49,10.373,7.414
Manufacture of coke and refined petroleum products,4.699,4.699,4.494,4.494,4.245,4.245,4.451,4.451,5.271,5.271,4.758,4.758,5.836,5.836,6.199,6.199,5.916,5.916,6.658,6.658,7.726,7.726,7.457,7.457,6.211,6.211,5.678,5.678,4.98,4.98,4.333,4.333,4.281,4.281,3.885,3.885,3.945,3.94,3.604,3.576,3.595,3.57,3.577,3.55,3.728,3.702,3.721,3.673,3.832,3.792,3.765,3.747,3.762,3.743,3.819,3.806,3.919,3.904
Manufacture of chemicals and chemical products,9.92,8.782,9.731,8.617,9.752,8.486,10.023,8.573,9.502,8.476,9.545,8.797,10.378,9.784,10.887,10.282,9.2,8.627,11.525,10.863,12.358,11.641,12.27,11.388,13.673,12.79,14.286,13.762,13.237,12.485,12.705,11.988,11.456,10.811,10.972,10.759,11.634,11.521,11.72,10.826,11.08,10.428,10.94,10.244,11.436,10.73,11.858,11.23,12.219,11.52,12.838,12.167,12.801,12.119,12.821,12.183,12.968,12.318
Manufacture of basic pharmaceutical products and pharmaceutical preparations,10.333,10.299,10.138,10.104,10.12,10.084,10.364,10.324,9.914,9.882,9.986,9.959,11.09,11.076,11.652,11.639,9.782,9.766,12.314,12.298,13.523,13.484,13.868,13.828,13.016,12.972,13.004,12.956,12.884,12.843,12.422,12.397,9.665,9.631,7.843,7.806,8.186,8.164,7.78,7.751,9.414,9.401,9.425,9.401,9.959,9.881,9.885,9.868,9.723,9.704,11.854,11.824,12.267,12.19,13.317,13.242,14.832,14.754
Manufacture of rubber and plastic products,10.279,9.167,10.29,8.837,9.982,8.567,10.105,8.703,10.134,9.161,9.798,8.857,13.157,12.089,13.066,12.024,12.051,11.054,13.444,12.494,11.699,10.661,12.06,11.084,12.776,11.801,15.795,14.621,16.342,15.073,15.136,13.927,13.62,12.568,13.079,12.069,13.601,12.862,11.867,10.827,12.487,11.522,12.36,11.446,12.167,11.26,12.813,11.77,12.944,11.877,12.955,12.085,13.556,12.68,13.4,12.601,12.957,12.336
Manufacture of other non-metallic mineral products,30.195,26.175,30.54,26.341,30.52,26.311,32.21,27.523,30.448,25.435,29.08,24.291,28.924,24.28,29.481,24.705,29.435,24.617,29.719,24.978,28.969,25.201,27.175,23.641,29.681,25.821,31.042,26.782,29.41,25.534,25.121,20.655,22.552,17.997,20.436,16.094,17.828,14.208,18.383,14.137,15.511,12.23,16.46,13.401,17.214,13.662,17.053,14.004,16.963,14.175,16.229,13.486,17.556,14.549,17.508,14.769,18.142,15.374
Manufacture of basic metals,11.054,10.929,11.184,11.125,10.799,10.781,11.41,11.125,12.112,12.063,10.963,10.918,12.087,12.078,12.955,12.94,14.666,14.645,12.654,12.544,10.3,9.298,10.101,9.055,10.167,9.073,12.869,11.669,12.706,11.521,11.999,11.516,11.016,10.506,10.028,9.557,9.052,8.616,9.21,8.779,8.67,8.329,8.747,8.399,9.352,9.048,10.242,9.966,11.204,10.928,11.37,11.103,12.051,11.795,12.572,12.325,13.048,12.781
"Manufacture of fabricated metal products, except machinery and equipment",30.121,23.96,30.329,23.994,29.283,23.403,31.06,24.822,31.004,25.132,30.862,25.021,40.181,27.646,41.504,27.355,40.048,25.95,42.289,27.303,41.069,25.731,42.238,26.684,43.143,27.249,48.929,34.941,47.785,34.269,46.757,33.897,42.736,29.401,39.641,27.234,37.227,25.851,36.245,26.122,34.573,25.157,36.047,25.536,33.677,25.404,32.983,25.265,33.18,25.309,33.612,25.691,38.007,27.517,37.958,27.305,39.664,28.5
"Manufacture of computer, electronic and optical products",3.976,3.242,4.322,3.499,4.245,3.41,4.623,3.737,4.779,3.92,4.608,3.768,5.389,4.38,6.245,5.084,7.043,5.82,5.372,3.886,6.84,5.188,5.743,3.978,6.267,4.387,5.294,4.72,4.297,3.832,5.177,4.759,5.185,4.727,4.824,4.388,4.182,3.774,4.372,3.939,4.2,3.847,4.655,4.288,4.357,3.993,3.778,3.475,3.955,3.635,3.957,3.562,5.337,5.027,5.392,4.958,5.581,5.094
Manufacture of electrical equipment,8.625,8.271,9.188,8.875,8.627,8.303,9.026,8.646,8.963,8.081,8.879,7.992,10.384,9.21,11.134,9.818,10.363,9.062,11.898,9.47,9.822,8.084,9.647,7.856,10.267,8.463,10.399,8.905,9.559,8.167,9.871,8.561,8.454,7.275,8.033,7.41,6.647,6.215,7.584,6.478,7.046,6.091,7.362,6.436,7.236,6.363,8.16,7.022,8.323,7.451,8.109,7.339,10.465,9.697,10.41,9.675,10.953,10.163
Manufacture of machinery and equipment n.e.c.,12.965,9.397,13.34,9.783,12.909,9.651,13.649,10.009,13.093,9.665,13.077,9.656,14.189,10.352,11.964,8.143,13.323,9.389,15.708,10.466,14.449,9.145,15.46,9.933,15.852,10.093,18.518,15.558,17.274,14.705,16.452,14.175,14.821,12.286,12.797,11.15,12.711,11.075,11.477,8.963,10.109,7.999,10.642,8.571,10.323,8.355,11.215,9.37,11.291,9.404,11.022,9.17,12.077,10.214,13.415,11.611,13.461,11.651
"Manufacture of motor vehicles, trailers and semi-trailers",4.278,3.458,4.062,3.183,3.965,3.163,3.84,3.078,3.907,3.355,3.996,3.432,3.865,3.324,3.19,2.693,3.636,3.122,3.905,3.237,3.04,2.557,3.12,2.65,3.119,2.656,4.688,4.318,4.17,3.831,3.606,3.244,3.072,2.812,3.094,2.814,2.29,2.078,2.06,1.526,1.872,1.415,1.883,1.433,1.874,1.423,2.151,1.713,1.97,1.509,1.838,1.371,1.841,1.379,1.853,1.388,1.944,1.456
Manufacture of other transport equipment,9.227,8.078,8.726,7.407,8.316,6.93,8.627,6.981,7.977,7.431,7.625,7.103,7.454,7.054,7.38,6.968,7.226,6.833,7.286,6.864,7.117,6.683,7.412,6.96,7.718,7.268,7.681,7.256,7.224,6.814,6.957,6.576,5.687,5.346,4.718,4.406,4.487,4.218,4.017,3.723,3.618,3.329,3.417,3.147,3.907,3.53,4.515,4.284,4.72,4.487,4.88,4.62,5.887,5.619,6.165,5.922,6.216,5.884
Manufacture of furniture,34.954,21.94,34.73,21.715,34.771,21.582,36.076,22.485,36.389,23.345,35.492,22.785,36.777,23.648,37.458,23.992,37.851,24.508,32.646,20.35,36.436,23.205,37.395,23.685,40.115,25.283,38.006,24.141,38.526,24.533,32.339,19.63,29.925,18.349,25.2,14.667,22.924,13.157,25.456,14.547,21.022,12.333,21.797,13.494,19.912,11.943,23.568,15.539,22.262,14.55,24.524,16.834,25.234,16.805,25.592,17.325,24.455,17.227
Repair and installation of machinery and equipment,7.811,6.165,7.707,5.911,7.409,5.644,7.767,5.677,7.393,6.162,7.245,6.014,7.331,6.096,7.17,5.909,7.1,5.861,7.38,5.994,7.532,4.715,7.902,6.699,7.824,6.567,13.505,9.665,12.076,8.263,11.796,7.768,11.163,7.601,10.005,7.994,11.535,8.912,15.642,11.129,13.997,9.636,15.858,11.604,14.331,10.087,15.444,11.406,15.851,11.71,16.467,12.205,18.261,13.664,20.376,15.712,21.829,17.126
"Electricity, gas, steam and air conditioning supply",38.398,37.589,38.511,37.7,37.606,36.814,37.077,36.296,36.408,35.641,35.039,34.301,32.777,31.815,29.939,28.639,26.825,25.403,26.445,24.979,26.232,24.804,27.069,24.731,27.748,24.732,24.223,21.753,23.717,20.136,24.319,20.535,26.178,20.14,26.52,20.532,28.019,20.392,31.96,22.113,30.463,22.597,32.736,24.912,31.846,23.226,31.383,23.997,31.647,23.774,31.541,23.177,31.501,22.422,32.644,22.204,33.401,22.719
"Water collection, treatment and supply",7.847,7.847,9.442,9.442,10.145,10.145,10.412,10.412,10.946,10.946,10.555,10.555,11.133,11.133,10.192,10.192,10.042,10.042,10.745,10.745,10.274,10.274,10.556,10.556,10.032,10.032,10.595,10.595,9.561,9.561,8.737,8.737,9.028,9.028,9.156,9.156,9.244,9.244,11.896,11.462,10.916,10.556,10.625,10.269,8.696,8.351,8.96,8.647,8.898,8.573,9.218,8.782,9.578,9.238,9.659,9.276,9.245,8.918
"Sewerage, waste collection, treatment and disposal activities; materials recovery, remediation activities and other waste management services",18.045,18.043,18.304,18.302,17.295,17.293,18.024,18.022,17.566,17.564,18.311,18.309,17.619,17.604,19.491,19.477,18.089,18.073,17.98,17.738,18.282,17.917,18.461,17.413,18.879,17.763,19.887,18.832,20.776,19.606,22.033,20.901,20.305,19.357,17.839,17.007,17.747,16.919,16.395,15.121,16.574,15.529,17.726,16.745,18.288,17.268,17.68,16.586,17.881,16.57,17.419,16.374,16.98,15.635,18.709,17.292,18.767,17.503
Construction,237.472,126.3,237.078,126.081,236.473,124.665,259.089,137.797,255.039,135.545,261.921,146.561,266.388,155.953,276.251,165.177,299.463,179.578,303.645,180.64,319.943,198.908,320.418,199.411,341.123,214.026,338.497,213.31,323.451,202.391,277.662,160.496,241.173,140.836,206.795,108.297,202.866,101.804,203.985,113.943,195.16,110.183,197.09,112.526,190.508,109.693,193.462,110.547,192.42,113.095,193.329,111.625,181.892,114.657,188.379,119.101,193.324,123.016
Wholesale and retail trade and repair of motor vehicles and motorcycles,86.853,52.355,85.732,51.564,85.508,51.659,95.878,58.302,89.731,59.685,92.616,58.932,85.141,51.422,90.862,52.762,98.955,57.507,90.361,53.805,92.032,53.458,96.538,56.075,103.686,60.227,99.147,63.115,96.391,62.225,95.355,60.522,86.069,58.587,74.434,46.688,71.754,44.12,70.896,40.877,69.517,40.263,72.935,42.992,69.216,41.409,73.519,42.43,77.264,44.848,75.95,42.733,81.297,44.485,82.064,45.201,83.351,46.864
"Wholesale trade, except of motor vehicles and motorcycles",217.038,140.755,210.99,136.832,213.209,137.635,238.798,154.155,241.266,162.935,241.028,162.776,257.851,184.301,280.898,193.345,285.343,201.017,316.16,221.597,330.752,219.954,339.068,235.584,337.825,247.094,349.64,260.662,347.213,259.521,331.632,251.568,308.137,227.766,286.991,212.642,262.166,192.047,251.715,179.395,231.293,171.402,234.56,177.752,233.667,179.142,248.478,198.55,251.493,201.004,250.468,198.686,265.15,212.747,269.124,218.667,272.267,224.667
"Retail trade, except of motor vehicles and motorcycles",448.211,195.459,437.229,190.488,455.314,203.574,461.721,205.625,466.823,222.189,473.72,220.726,480.314,232.552,488.889,236.515,504.931,251.944,520.911,252.104,504.098,237.147,517.059,246.891,533.091,272.601,531.84,276.955,525.99,273.909,525.41,273.389,491.442,258.011,466.224,242.798,447.952,234.766,453.448,240.649,452.186,243.275,480.94,275.229,478.909,273.709,496.763,297.627,507.829,308.207,495.43,296.495,512.42,322.818,515.03,330.61,518.202,334.446
Land transport and transport via pipelines,173.886,83.462,174.076,83.45,166.357,80.05,171.841,82.688,177.067,86.638,174.147,85.207,165.859,78.137,143.044,66.446,136.129,61.726,134.785,64.106,130.812,68.819,138.707,73.197,126.511,60.355,129.655,57.132,129.794,56.92,128.059,57.134,127.513,59.849,125.331,54.009,123.102,59.322,135.65,68.881,117.038,63.204,121.749,65.235,112.489,56.553,116.587,59.922,120.301,62.841,117.459,60.39,113.698,60.73,115.671,61.444,116.889,62.091
Water transport,35.293,28.891,34.366,28.192,32.44,26.627,36.614,30.053,37.889,30.653,37.375,31.153,35.381,29.39,33.802,31.965,37.48,33.822,33.903,29.035,28.658,26.545,29.773,27.068,32.354,29.51,37.264,33.986,37.263,34.674,37.906,35.335,39.328,37.158,39.641,38.588,42.959,41.951,43.271,42.172,53.96,53.134,56.115,55.376,60.701,59.941,63.634,63.011,64.419,63.534,63.131,62.136,66.249,64.468,66.211,64.797,67.422,66.237
Air transport,18.991,18.991,18.322,18.322,18.036,18.036,16.759,16.759,16.836,16.836,13.948,13.948,13.419,13.419,11.737,11.737,10.923,10.923,4.744,4.744,3.809,3.809,4.202,4.202,4.246,4.246,4.562,4.562,4.502,4.502,4.743,4.743,4.3,4.3,3.561,3.561,3.369,3.369,3.599,3.599,3.793,3.777,3.814,3.781,4.008,3.984,4.536,4.527,4.608,4.595,4.137,4.121,4.229,4.216,4.263,4.248,4.726,4.71
Warehousing and support activities for transportation,31.078,24.768,28.785,22.934,29.117,23.214,30.922,24.652,28.795,22.607,30.544,24.385,32.458,25.87,39.147,34.113,35.818,30.437,36.742,29.639,37.226,31.662,34.15,28.831,32.939,27.403,38.358,31.775,44.234,38.195,41.685,35.098,40.378,35.204,42.585,37.356,44.977,40.139,46.658,42.141,47.264,42.924,46.74,42.574,47.649,43.635,50.431,46.042,51.316,47.302,48.745,44.546,51.884,47.543,55.049,50.643,58.921,53.648
Postal and courier activities,15.953,15.183,17.086,16.262,17.117,16.291,18.201,17.323,17.382,16.543,18.309,17.426,18.158,17.1,19.972,18.958,20.348,19.344,20.167,19.219,21.485,20.703,23.911,23.028,22.367,21.473,21.91,20.758,21.809,20.663,19.656,18.397,17.558,16.346,15.951,14.85,13.828,12.977,15.206,13.853,15.528,14.235,15.104,13.864,15.083,13.892,16.641,15.547,16.298,15.149,19.187,17.909,21.253,19.371,20.867,18.927,21.526,19.104
Accomodation and food and beverage service activities,282.953,145.938,283.775,146.222,290.813,150.909,301.9,156.662,303.614,167.021,311.909,168.712,316.273,179.931,322.42,202.19,326.704,205.039,330.899,204.024,343.621,185.204,357.994,195.099,361.63,197.11,371.696,208.8,372.721,211.935,357.725,229.711,353.712,228.528,349.009,225.069,378.693,254.946,448.089,329.186,445.284,326.911,522.776,407.707,538.709,427.384,603.084,501.988,654.179,549.077,549.658,443.407,640.829,533.115,688.847,579.527,696.774,584.288
Publishing activities,17.486,16.69,17.857,17.03,17.953,17.139,18.562,17.729,18.751,18.208,17.875,17.359,20.601,19.724,22.09,21.095,21.993,21.015,24.413,20.883,21.566,18.541,22.009,18.906,21.016,17.785,20.727,17.537,20.157,16.742,21.323,17.86,19.138,15.986,17.543,14.974,16.786,13.987,14.288,11.755,12.859,10.766,12.335,10.429,11.995,10.09,14.675,13.068,14.523,12.872,13.15,11.313,13.708,11.83,13.749,11.62,13.392,11.64
"Motion picture, video and television programme production, sound recording and music publishing activities. Broadcasting and programming activities",19.983,18.058,20.246,18.273,19.773,17.852,21.997,19.875,20.941,17.996,20.539,18.07,20.533,17.647,23.543,20.544,23.012,19.783,22.102,19.052,22.811,19.662,22.097,18.869,22.696,19.297,21.437,17.801,20.271,16.601,18.605,15.31,17.105,13.701,14.926,11.806,14.023,11.382,14.684,12.13,14.155,11.689,15.562,13.382,16.299,14.128,20.192,18.214,20.504,18.409,19.831,17.451,23.767,20.813,24.905,21.767,24.835,21.753
Telecommunications,24.284,22.74,26.008,24.355,26.056,24.4,27.706,25.945,26.458,24.776,27.87,26.098,28.547,25.611,30.653,28.393,31.083,28.971,30.574,28.784,33.168,32.08,29.862,28.703,28.221,27.083,29.716,28.738,28.133,27.208,30.316,28.182,31.566,29.411,29.253,27.207,30.867,28.992,30.246,28.56,31.271,29.749,29.684,28.238,29.326,28.013,31.154,30.025,32.01,30.872,31.329,30.123,24.03,22.799,24.192,22.849,23.236,21.908
"Computer programming, consultancy and related activities;information service activities",5.904,4.11,5.043,4.55,6.831,6.134,8.902,6.305,9.353,8.245,10.514,9.355,13.193,12.289,20.735,16.706,17.641,13.645,19.909,16.189,17.124,12,23.952,14.262,25.711,16.89,28.467,16.747,28.35,17.428,29.031,19.338,27.596,17.533,28.499,18.376,30.316,20.735,34.89,23.55,30.925,19.436,32.272,21.564,31.747,22.328,34.557,26.604,36.729,27.977,41.025,31.105,51.055,39.095,54.292,40.515,56.135,44.212
"Financial service activities, except insurance and pension funding",60.577,60.577,56.396,56.396,65.085,65.085,66.242,66.242,65.115,65.115,67.85,67.739,62.549,62.308,63.21,62.966,70.509,70.236,71.905,71.626,71.417,71.151,72.923,72.79,75.791,75.652,77.079,76.92,72.151,72.022,68.721,68.601,63.26,63.145,59.593,59.482,56.266,56.157,51.1,51.1,52.525,52.525,49.124,49.124,48.606,48.606,47.268,47.268,43.496,43.496,43.639,43.639,42.868,42.868,42.353,42.353,42.324,42.324
