Date,Births per woman,Annual change
1990-12-31,1.471,-2.06
1991-12-31,1.439,-2.18
1992-12-31,1.408,-2.15
1993-12-31,1.377,-2.2
1994-12-31,1.363,-1.02
1995-12-31,1.349,-1.03
1996-12-31,1.334,-1.11
1997-12-31,1.32,-1.05
1998-12-31,1.306,-1.06
1999-12-31,1.303,-0.23
2000-12-31,1.3,-0.23
2001-12-31,1.297,-0.23
2002-12-31,1.294,-0.23
2003-12-31,1.291,-0.23
2004-12-31,1.316,1.94
2005-12-31,1.341,1.9
2006-12-31,1.366,1.86
2007-12-31,1.391,1.83
2008-12-31,1.416,1.8
2009-12-31,1.401,-1.06
2010-12-31,1.387,-1
2011-12-31,1.372,-1.08
2012-12-31,1.358,-1.02
2013-12-31,1.343,-1.1
2014-12-31,1.335,-0.6
2015-12-31,1.327,-0.6
2016-12-31,1.318,-0.68
2017-12-31,1.31,-0.61
2018-12-31,1.302,-0.61
2019-12-31,1.294,-0.61
2020-12-31,1.286,-0.62
2021-12-31,1.279,-0.54
2022-12-31,1.271,-0.63
2023-12-31,1.263,-0.63
2024-12-31,1.264,0.08
