Date,Unemployement rate,Annual change
1991-12-31,7.572,
1992-12-31,8.927,1.36
1993-12-31,10.177,1.25
1994-12-31,9.808,-0.37
1995-12-31,10.117,0.31
1996-12-31,10.402,0.28
1997-12-31,10.472,0.07
1998-12-31,12.227,1.76
1999-12-31,12.138,-0.09
2000-12-31,11.345,-0.79
2001-12-31,10.764,-0.58
2002-12-31,10.346,-0.42
2003-12-31,9.839,-0.51
2004-12-31,10.628,0.79
2005-12-31,10.074,-0.55
2006-12-31,8.906,-1.17
2007-12-31,8.351,-0.56
2008-12-31,7.664,-0.69
2009-12-31,9.546,1.88
2010-12-31,12.719,3.17
2011-12-31,17.973,5.25
2012-12-31,24.731,6.76
2013-12-31,27.686,2.96
2014-12-31,26.708,-0.98
2015-12-31,24.981,-1.73
2016-12-31,23.514,-1.47
2017-12-31,21.414,-2.1
2018-12-31,19.179,-2.24
2019-12-31,17.045,-2.13
2020-12-31,15.899,-1.15
2021-12-31,14.657,-1.24
2022-12-31,12.426,-2.23
2023-12-31,10.997,-1.43
