TIME;Gross consolidated debt of General Government (2024q4);INSTR_ASSETS_CLASSIFICATION;ORIG_MATURITY;CONTROL;Value
2000-Q1;Total Maastricht debt;GD;T;1=2+5+8;139528
2000-Q1;Currency and deposits;F2;T;2=3+4;559
2000-Q1;Currency;F21;_Z;3;157
2000-Q1;Deposits;F2M;T;4;402
2000-Q1;Debt securities;F3;T;5=6+7;102708
2000-Q1;Short-term;F3;S;6;3644
2000-Q1;Long-term;F3;L;7;99064
2000-Q1;Loans;F4;T;8=9+10;36261
2000-Q1;Short-term;F4;S;9;1244
2000-Q1;Long-term;F4;L;10;35017
2000-Q2;Total Maastricht debt;GD;T;1=2+5+8;145575
2000-Q2;Currency and deposits;F2;T;2=3+4;518
2000-Q2;Currency;F21;_Z;3;160
2000-Q2;Deposits;F2M;T;4;358
2000-Q2;Debt securities;F3;T;5=6+7;107480
2000-Q2;Short-term;F3;S;6;2599
2000-Q2;Long-term;F3;L;7;104881
2000-Q2;Loans;F4;T;8=9+10;37577
2000-Q2;Short-term;F4;S;9;1933
2000-Q2;Long-term;F4;L;10;35644
2000-Q3;Total Maastricht debt;GD;T;1=2+5+8;148090
2000-Q3;Currency and deposits;F2;T;2=3+4;508
2000-Q3;Currency;F21;_Z;3;164
2000-Q3;Deposits;F2M;T;4;344
2000-Q3;Debt securities;F3;T;5=6+7;108865
2000-Q3;Short-term;F3;S;6;2222
2000-Q3;Long-term;F3;L;7;106643
2000-Q3;Loans;F4;T;8=9+10;38717
2000-Q3;Short-term;F4;S;9;2379
2000-Q3;Long-term;F4;L;10;36338
2000-Q4;Total Maastricht debt;GD;T;1=2+5+8;148217
2000-Q4;Currency and deposits;F2;T;2=3+4;497
2000-Q4;Currency;F21;_Z;3;178
2000-Q4;Deposits;F2M;T;4;319
2000-Q4;Debt securities;F3;T;5=6+7;107750
2000-Q4;Short-term;F3;S;6;1766
2000-Q4;Long-term;F3;L;7;105984
2000-Q4;Loans;F4;T;8=9+10;39970
2000-Q4;Short-term;F4;S;9;4210
2000-Q4;Long-term;F4;L;10;35760
2001-Q1;Total Maastricht debt;GD;T;1=2+5+8;154271
2001-Q1;Currency and deposits;F2;T;2=3+4;535
2001-Q1;Currency;F21;_Z;3;184
2001-Q1;Deposits;F2M;T;4;351
2001-Q1;Debt securities;F3;T;5=6+7;108735
2001-Q1;Short-term;F3;S;6;1716
2001-Q1;Long-term;F3;L;7;107019
2001-Q1;Loans;F4;T;8=9+10;45001
2001-Q1;Short-term;F4;S;9;2877
2001-Q1;Long-term;F4;L;10;42124
2001-Q2;Total Maastricht debt;GD;T;1=2+5+8;155307
2001-Q2;Currency and deposits;F2;T;2=3+4;554
2001-Q2;Currency;F21;_Z;3;202
2001-Q2;Deposits;F2M;T;4;352
2001-Q2;Debt securities;F3;T;5=6+7;109942
2001-Q2;Short-term;F3;S;6;959
2001-Q2;Long-term;F3;L;7;108983
2001-Q2;Loans;F4;T;8=9+10;44811
2001-Q2;Short-term;F4;S;9;2380
2001-Q2;Long-term;F4;L;10;42431
2001-Q3;Total Maastricht debt;GD;T;1=2+5+8;155163
2001-Q3;Currency and deposits;F2;T;2=3+4;562
2001-Q3;Currency;F21;_Z;3;204
2001-Q3;Deposits;F2M;T;4;358
2001-Q3;Debt securities;F3;T;5=6+7;109104
2001-Q3;Short-term;F3;S;6;1512
2001-Q3;Long-term;F3;L;7;107592
2001-Q3;Loans;F4;T;8=9+10;45497
2001-Q3;Short-term;F4;S;9;2026
2001-Q3;Long-term;F4;L;10;43471
2001-Q4;Total Maastricht debt;GD;T;1=2+5+8;162971
2001-Q4;Currency and deposits;F2;T;2=3+4;603
2001-Q4;Currency;F21;_Z;3;198
2001-Q4;Deposits;F2M;T;4;405
2001-Q4;Debt securities;F3;T;5=6+7;115137
2001-Q4;Short-term;F3;S;6;747
2001-Q4;Long-term;F3;L;7;114390
2001-Q4;Loans;F4;T;8=9+10;47231
2001-Q4;Short-term;F4;S;9;3209
2001-Q4;Long-term;F4;L;10;44022
2002-Q1;Total Maastricht debt;GD;T;1=2+5+8;161507
2002-Q1;Currency and deposits;F2;T;2=3+4;1069
2002-Q1;Currency;F21;_Z;3;0
2002-Q1;Deposits;F2M;T;4;1069
2002-Q1;Debt securities;F3;T;5=6+7;114831
2002-Q1;Short-term;F3;S;6;818
2002-Q1;Long-term;F3;L;7;114013
2002-Q1;Loans;F4;T;8=9+10;45607
2002-Q1;Short-term;F4;S;9;1346
2002-Q1;Long-term;F4;L;10;44261
2002-Q2;Total Maastricht debt;GD;T;1=2+5+8;162757
2002-Q2;Currency and deposits;F2;T;2=3+4;1021
2002-Q2;Currency;F21;_Z;3;0
2002-Q2;Deposits;F2M;T;4;1021
2002-Q2;Debt securities;F3;T;5=6+7;117682
2002-Q2;Short-term;F3;S;6;857
2002-Q2;Long-term;F3;L;7;116825
2002-Q2;Loans;F4;T;8=9+10;44054
2002-Q2;Short-term;F4;S;9;1172
2002-Q2;Long-term;F4;L;10;42882
2002-Q3;Total Maastricht debt;GD;T;1=2+5+8;164471
2002-Q3;Currency and deposits;F2;T;2=3+4;1203
2002-Q3;Currency;F21;_Z;3;0
2002-Q3;Deposits;F2M;T;4;1203
2002-Q3;Debt securities;F3;T;5=6+7;119636
2002-Q3;Short-term;F3;S;6;893
2002-Q3;Long-term;F3;L;7;118743
2002-Q3;Loans;F4;T;8=9+10;43632
2002-Q3;Short-term;F4;S;9;1061
2002-Q3;Long-term;F4;L;10;42571
2002-Q4;Total Maastricht debt;GD;T;1=2+5+8;171410
2002-Q4;Currency and deposits;F2;T;2=3+4;1260
2002-Q4;Currency;F21;_Z;3;0
2002-Q4;Deposits;F2M;T;4;1260
2002-Q4;Debt securities;F3;T;5=6+7;125282
2002-Q4;Short-term;F3;S;6;966
2002-Q4;Long-term;F3;L;7;124316
2002-Q4;Loans;F4;T;8=9+10;44868
2002-Q4;Short-term;F4;S;9;2901
2002-Q4;Long-term;F4;L;10;41967
2003-Q1;Total Maastricht debt;GD;T;1=2+5+8;170278
2003-Q1;Currency and deposits;F2;T;2=3+4;1131
2003-Q1;Currency;F21;_Z;3;0
2003-Q1;Deposits;F2M;T;4;1131
2003-Q1;Debt securities;F3;T;5=6+7;125327
2003-Q1;Short-term;F3;S;6;1374
2003-Q1;Long-term;F3;L;7;123953
2003-Q1;Loans;F4;T;8=9+10;43820
2003-Q1;Short-term;F4;S;9;1761
2003-Q1;Long-term;F4;L;10;42059
2003-Q2;Total Maastricht debt;GD;T;1=2+5+8;174153
2003-Q2;Currency and deposits;F2;T;2=3+4;1109
2003-Q2;Currency;F21;_Z;3;0
2003-Q2;Deposits;F2M;T;4;1109
2003-Q2;Debt securities;F3;T;5=6+7;129142
2003-Q2;Short-term;F3;S;6;1327
2003-Q2;Long-term;F3;L;7;127815
2003-Q2;Loans;F4;T;8=9+10;43902
2003-Q2;Short-term;F4;S;9;1572
2003-Q2;Long-term;F4;L;10;42330
2003-Q3;Total Maastricht debt;GD;T;1=2+5+8;174592
2003-Q3;Currency and deposits;F2;T;2=3+4;1198
2003-Q3;Currency;F21;_Z;3;0
2003-Q3;Deposits;F2M;T;4;1198
2003-Q3;Debt securities;F3;T;5=6+7;130032
2003-Q3;Short-term;F3;S;6;1065
2003-Q3;Long-term;F3;L;7;128967
2003-Q3;Loans;F4;T;8=9+10;43362
2003-Q3;Short-term;F4;S;9;1516
2003-Q3;Long-term;F4;L;10;41846
2003-Q4;Total Maastricht debt;GD;T;1=2+5+8;181510
2003-Q4;Currency and deposits;F2;T;2=3+4;1149
2003-Q4;Currency;F21;_Z;3;0
2003-Q4;Deposits;F2M;T;4;1149
2003-Q4;Debt securities;F3;T;5=6+7;136866
2003-Q4;Short-term;F3;S;6;542
2003-Q4;Long-term;F3;L;7;136324
2003-Q4;Loans;F4;T;8=9+10;43495
2003-Q4;Short-term;F4;S;9;2809
2003-Q4;Long-term;F4;L;10;40686
2004-Q1;Total Maastricht debt;GD;T;1=2+5+8;187837
2004-Q1;Currency and deposits;F2;T;2=3+4;1181
2004-Q1;Currency;F21;_Z;3;0
2004-Q1;Deposits;F2M;T;4;1181
2004-Q1;Debt securities;F3;T;5=6+7;146319
2004-Q1;Short-term;F3;S;6;942
2004-Q1;Long-term;F3;L;7;145377
2004-Q1;Loans;F4;T;8=9+10;40337
2004-Q1;Short-term;F4;S;9;1880
2004-Q1;Long-term;F4;L;10;38457
2004-Q2;Total Maastricht debt;GD;T;1=2+5+8;198359
2004-Q2;Currency and deposits;F2;T;2=3+4;1263
2004-Q2;Currency;F21;_Z;3;0
2004-Q2;Deposits;F2M;T;4;1263
2004-Q2;Debt securities;F3;T;5=6+7;156592
2004-Q2;Short-term;F3;S;6;1040
2004-Q2;Long-term;F3;L;7;155552
2004-Q2;Loans;F4;T;8=9+10;40504
2004-Q2;Short-term;F4;S;9;1945
2004-Q2;Long-term;F4;L;10;38559
2004-Q3;Total Maastricht debt;GD;T;1=2+5+8;199794
2004-Q3;Currency and deposits;F2;T;2=3+4;1327
2004-Q3;Currency;F21;_Z;3;0
2004-Q3;Deposits;F2M;T;4;1327
2004-Q3;Debt securities;F3;T;5=6+7;158832
2004-Q3;Short-term;F3;S;6;1005
2004-Q3;Long-term;F3;L;7;157827
2004-Q3;Loans;F4;T;8=9+10;39635
2004-Q3;Short-term;F4;S;9;1739
2004-Q3;Long-term;F4;L;10;37896
2004-Q4;Total Maastricht debt;GD;T;1=2+5+8;199282
2004-Q4;Currency and deposits;F2;T;2=3+4;1315
2004-Q4;Currency;F21;_Z;3;0
2004-Q4;Deposits;F2M;T;4;1315
2004-Q4;Debt securities;F3;T;5=6+7;155706
2004-Q4;Short-term;F3;S;6;1464
2004-Q4;Long-term;F3;L;7;154242
2004-Q4;Loans;F4;T;8=9+10;42261
2004-Q4;Short-term;F4;S;9;3713
2004-Q4;Long-term;F4;L;10;38548
2005-Q1;Total Maastricht debt;GD;T;1=2+5+8;200892
2005-Q1;Currency and deposits;F2;T;2=3+4;1443
2005-Q1;Currency;F21;_Z;3;0
2005-Q1;Deposits;F2M;T;4;1443
2005-Q1;Debt securities;F3;T;5=6+7;157609
2005-Q1;Short-term;F3;S;6;1274
2005-Q1;Long-term;F3;L;7;156335
2005-Q1;Loans;F4;T;8=9+10;41840
2005-Q1;Short-term;F4;S;9;1817
2005-Q1;Long-term;F4;L;10;40023
2005-Q2;Total Maastricht debt;GD;T;1=2+5+8;209098
2005-Q2;Currency and deposits;F2;T;2=3+4;1476
2005-Q2;Currency;F21;_Z;3;0
2005-Q2;Deposits;F2M;T;4;1476
2005-Q2;Debt securities;F3;T;5=6+7;165705
2005-Q2;Short-term;F3;S;6;1247
2005-Q2;Long-term;F3;L;7;164458
2005-Q2;Loans;F4;T;8=9+10;41917
2005-Q2;Short-term;F4;S;9;1502
2005-Q2;Long-term;F4;L;10;40415
2005-Q3;Total Maastricht debt;GD;T;1=2+5+8;212478
2005-Q3;Currency and deposits;F2;T;2=3+4;1491
