,Year,Quarter,Index Ι,q-o-q change %,Y-o-y change %,Index II,q-o-q change %,Y-o-y change %,Index III,q-o-q change %,Y-o-y change %
0,2008.0,Q1,104.2,-5.4,4.4,112.7,7.2,4.1,104.3,-5.4,4.4
1,2008.0,Q2,112.8,8.3,4.5,113.2,0.4,4.0,112.8,8.1,4.6
2,2008.0,Q3,124.0,9.9,4.8,120.6,6.5,5.4,124.0,9.9,4.8
3,2008.0,Q4,115.4,-6.9,4.7,109.5,-9.2,4.2,115.4,-6.9,4.7
4,2009.0,Q1,99.8,-13.5,-4.2,108.1,-1.3,-4.1,99.8,-13.5,-4.3
5,2009.0,Q2,113.0,13.2,0.2,113.9,5.4,0.6,112.9,13.1,0.1
6,2009.0,Q3,117.6,4.1,-5.2,116.3,2.1,-3.6,117.6,4.2,-5.2
7,2009.0,Q4,125.0,6.3,8.3,117.1,0.7,6.9,125.0,6.3,8.3
8,2010.0,Q1,112.4,-10.1,12.6,117.9,0.7,9.1,110.8,-11.4,11.0
9,2010.0,Q2,112.7,0.3,-0.3,115.4,-2.1,1.3,114.0,2.9,1.0
10,2010.0,Q3,113.9,1.1,-3.1,114.1,-1.1,-1.9,113.8,-0.2,-3.2
11,2010.0,Q4,119.5,4.9,-4.4,111.7,-2.1,-4.6,119.5,5.0,-4.4
12,2011.0,Q1,105.5,-11.7,-6.1,112.7,0.9,-4.4,105.1,-12.1,-5.1
13,2011.0,Q2,110.3,4.5,-2.1,110.8,-1.7,-4.0,110.2,4.9,-3.3
14,2011.0,Q3,107.6,-2.4,-5.5,109.1,-1.5,-4.4,107.7,-2.3,-5.4
15,2011.0,Q4,112.9,4.9,-5.5,103.5,-5.1,-7.3,112.6,4.5,-5.8
16,2012.0,Q1,95.2,-15.7,-9.8,102.8,-0.7,-8.8,95.2,-15.5,-9.4
17,2012.0,Q2,100.9,6.0,-8.5,100.9,-1.8,-8.9,100.9,6.0,-8.4
18,2012.0,Q3,95.3,-5.6,-11.4,97.2,-3.7,-10.9,95.4,-5.5,-11.4
19,2012.0,Q4,109.0,14.4,-3.5,99.4,2.3,-4.0,108.9,14.2,-3.3
20,2013.0,Q1,83.2,-23.7,-12.6,91.1,-8.4,-11.4,83.2,-23.6,-12.6
21,2013.0,Q2,91.1,9.5,-9.7,91.3,0.2,-9.5,91.1,9.5,-9.7
22,2013.0,Q3,89.6,-1.6,-6.0,89.2,-2.3,-8.2,89.4,-1.9,-6.3
23,2013.0,Q4,96.9,8.1,-11.1,88.8,-0.4,-10.7,96.9,8.4,-11.0
24,2014.0,Q1,80.2,-17.2,-3.6,89.4,0.7,-1.9,80.3,-17.1,-3.5
